threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,60,60,0,0,1.0,0.45,0.55,0.4442561382585862,"{'maybe': 18, 'yes': 23, 'no': 19}","{'yes': {'yes': 12, 'no': 0, 'maybe': 8, 'unknown': 0}, 'no': {'yes': 3, 'no': 11, 'maybe': 6, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 8, 'maybe': 4, 'unknown': 0}}"
0.1,60,60,0,0,1.0,0.45,0.55,0.4442561382585862,"{'maybe': 18, 'yes': 23, 'no': 19}","{'yes': {'yes': 12, 'no': 0, 'maybe': 8, 'unknown': 0}, 'no': {'yes': 3, 'no': 11, 'maybe': 6, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 8, 'maybe': 4, 'unknown': 0}}"
0.2,60,60,0,0,1.0,0.45,0.55,0.4442561382585862,"{'maybe': 18, 'yes': 23, 'no': 19}","{'yes': {'yes': 12, 'no': 0, 'maybe': 8, 'unknown': 0}, 'no': {'yes': 3, 'no': 11, 'maybe': 6, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 8, 'maybe': 4, 'unknown': 0}}"
0.3,60,60,0,0,1.0,0.45,0.55,0.4442561382585862,"{'maybe': 18, 'yes': 23, 'no': 19}","{'yes': {'yes': 12, 'no': 0, 'maybe': 8, 'unknown': 0}, 'no': {'yes': 3, 'no': 11, 'maybe': 6, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 8, 'maybe': 4, 'unknown': 0}}"
0.4,60,58,2,0,0.9666666666666667,0.46551724137931033,0.5344827586206897,0.4583187839001792,"{'maybe': 16, 'yes': 23, 'no': 19}","{'yes': {'yes': 12, 'no': 0, 'maybe': 8, 'unknown': 0}, 'no': {'yes': 3, 'no': 11, 'maybe': 4, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 8, 'maybe': 4, 'unknown': 0}}"
0.5,60,58,2,0,0.9666666666666667,0.46551724137931033,0.5344827586206897,0.4583187839001792,"{'maybe': 16, 'yes': 23, 'no': 19}","{'yes': {'yes': 12, 'no': 0, 'maybe': 8, 'unknown': 0}, 'no': {'yes': 3, 'no': 11, 'maybe': 4, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 8, 'maybe': 4, 'unknown': 0}}"
0.6,60,54,6,0,0.9,0.46296296296296297,0.537037037037037,0.4564075630252101,"{'yes': 23, 'no': 16, 'maybe': 15}","{'yes': {'yes': 12, 'no': 0, 'maybe': 7, 'unknown': 0}, 'no': {'yes': 3, 'no': 9, 'maybe': 4, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 7, 'maybe': 4, 'unknown': 0}}"
0.7,60,52,8,0,0.8666666666666667,0.4807692307692308,0.5192307692307692,0.47380952380952374,"{'yes': 23, 'no': 15, 'maybe': 14}","{'yes': {'yes': 12, 'no': 0, 'maybe': 7, 'unknown': 0}, 'no': {'yes': 3, 'no': 9, 'maybe': 3, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 6, 'maybe': 4, 'unknown': 0}}"
0.8,60,36,24,0,0.6,0.5555555555555556,0.4444444444444444,0.4888888888888889,"{'yes': 22, 'no': 9, 'maybe': 5}","{'yes': {'yes': 12, 'no': 0, 'maybe': 2, 'unknown': 0}, 'no': {'yes': 3, 'no': 7, 'maybe': 2, 'unknown': 0}, 'maybe': {'yes': 7, 'no': 2, 'maybe': 1, 'unknown': 0}}"
0.9,60,29,31,0,0.48333333333333334,0.6206896551724138,0.3793103448275862,0.47771836007130125,"{'yes': 20, 'no': 8, 'maybe': 1}","{'yes': {'yes': 12, 'no': 0, 'maybe': 1, 'unknown': 0}, 'no': {'yes': 3, 'no': 6, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 5, 'no': 2, 'maybe': 0, 'unknown': 0}}"
1.0,60,5,55,0,0.08333333333333333,0.8,0.19999999999999996,0.6190476190476191,"{'yes': 1, 'no': 4}","{'yes': {'yes': 1, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 0, 'no': 3, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 0, 'no': 1, 'maybe': 0, 'unknown': 0}}"
