threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,60,59,1,1,0.9833333333333333,0.559322033898305,0.44067796610169496,0.5575961054221924,"{'yes': 27, 'maybe': 17, 'no': 15}","{'yes': {'yes': 14, 'no': 0, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 3, 'no': 12, 'maybe': 5, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 7, 'unknown': 0}}"
0.1,60,59,1,1,0.9833333333333333,0.559322033898305,0.44067796610169496,0.5575961054221924,"{'yes': 27, 'maybe': 17, 'no': 15}","{'yes': {'yes': 14, 'no': 0, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 3, 'no': 12, 'maybe': 5, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 7, 'unknown': 0}}"
0.2,60,59,1,1,0.9833333333333333,0.559322033898305,0.44067796610169496,0.5575961054221924,"{'yes': 27, 'maybe': 17, 'no': 15}","{'yes': {'yes': 14, 'no': 0, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 3, 'no': 12, 'maybe': 5, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 7, 'unknown': 0}}"
0.3,60,59,1,1,0.9833333333333333,0.559322033898305,0.44067796610169496,0.5575961054221924,"{'yes': 27, 'maybe': 17, 'no': 15}","{'yes': {'yes': 14, 'no': 0, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 3, 'no': 12, 'maybe': 5, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 7, 'unknown': 0}}"
0.4,60,55,5,1,0.9166666666666666,0.5454545454545454,0.4545454545454546,0.5270815572605855,"{'yes': 27, 'maybe': 13, 'no': 15}","{'yes': {'yes': 14, 'no': 0, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 3, 'no': 12, 'maybe': 4, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 4, 'unknown': 0}}"
0.5,60,55,5,1,0.9166666666666666,0.5454545454545454,0.4545454545454546,0.5270815572605855,"{'yes': 27, 'maybe': 13, 'no': 15}","{'yes': {'yes': 14, 'no': 0, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 3, 'no': 12, 'maybe': 4, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 4, 'unknown': 0}}"
0.6,60,53,7,1,0.8833333333333333,0.5471698113207547,0.4528301886792453,0.5314117134980897,"{'yes': 27, 'maybe': 12, 'no': 14}","{'yes': {'yes': 14, 'no': 0, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 3, 'no': 11, 'maybe': 3, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 4, 'unknown': 0}}"
0.7,60,43,17,1,0.7166666666666667,0.6046511627906976,0.39534883720930236,0.5257936507936508,"{'yes': 27, 'no': 14, 'maybe': 2}","{'yes': {'yes': 14, 'no': 0, 'maybe': 1, 'unknown': 0}, 'no': {'yes': 3, 'no': 11, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 1, 'unknown': 0}}"
0.8,60,39,21,1,0.65,0.6410256410256411,0.3589743589743589,0.5012210012210012,"{'yes': 25, 'no': 14}","{'yes': {'yes': 14, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 3, 'no': 11, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 3, 'maybe': 0, 'unknown': 0}}"
0.9,60,31,29,1,0.5166666666666667,0.7096774193548387,0.29032258064516125,0.5479195885928004,"{'yes': 19, 'no': 12}","{'yes': {'yes': 12, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 1, 'no': 10, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 6, 'no': 2, 'maybe': 0, 'unknown': 0}}"
1.0,60,1,59,1,0.016666666666666666,0.0,1.0,0.0,{'no': 1},"{'yes': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 0, 'no': 1, 'maybe': 0, 'unknown': 0}}"
